TIME_PERIOD,OBS_VALUE
2024-S1,8749.392
2024-S2,12208.297
2025-S1,40049.689
2025-S2,30721.168
2015-S1,745750.000
2015-S2,483858.000
2016-S1,447454.000
2016-S2,291899.000
2017-S1,229363.000
2017-S2,226562.000
2018-S1,198037.000
2018-S2,199193.000
2019-S1,330497.000
2019-S2,334655.000
2020-S1,414183.000
2020-S2,384113.000
2021-S1,402756.000
2021-S2,331390.000
2022-S1,370721.000
2022-S2,398145.000
2023-S1,492005.000
2023-S2,359052.000
2024-S1,357640.000
2024-S2,397475.000
2025-S1,517124.000
2025-S2,578783.000
2015-S1,203334.698
2015-S2,169775.979
2016-S1,210741.841
2016-S2,156080.221
2017-S1,143127.886
2017-S2,159092.601
2018-S1,173722.884
2018-S2,149584.092
2019-S1,199014.596
2019-S2,176459.628
2020-S1,275807.447
2020-S2,214397.807
2021-S1,337964.404
2021-S2,308399.920
2022-S1,332572.632
2022-S2,347033.725
2023-S1,324433.253
2023-S2,327360.089
2024-S1,364543.109
2024-S2,533710.740
2025-S1,584214.099
2025-S2,473446.309
2015-S1,34269.174
2015-S2,19571.987
2016-S1,8898.000
2016-S2,5950.000
2017-S1,12587.000
2017-S2,6515.500
2018-S1,43654.000
2018-S2,300366.500
2019-S1,68255.000
2019-S2,134129.601
2020-S1,116584.006
2020-S2,208242.242
2021-S1,183674.310
2021-S2,88121.791
2022-S1,82667.676
2022-S2,129865.935
2023-S1,277587.255
2023-S2,257272.380
2024-S1,524041.690
2024-S2,639324.941
2025-S1,988769.000
2025-S2,686301.000
2015-S1,1403409.000
2015-S2,1285692.000
2016-S1,1121981.000
2016-S2,1037047.000
2017-S1,1046848.000
2017-S2,1004670.000
2018-S1,906553.000
2018-S2,911147.000
2019-S1,830761.000
2019-S2,819220.000
2020-S1,871446.000
2020-S2,883440.000
2021-S1,908284.000
2021-S2,950500.000
2022-S1,956934.000
2022-S2,1063888.000
2023-S1,1010357.000
2023-S2,1046912.000
2024-S1,1118783.000
2024-S2,1082338.000
2025-S1,1257214.000
2025-S2,1367591.000
2015-S1,704.592
2015-S2,715.053
2016-S1,775.272
2016-S2,819.522
2017-S1,777.550
2017-S2,722.598
2018-S1,868.540
2018-S2,917.937
2019-S1,852.541
2019-S2,700.284
2020-S1,705.079
2020-S2,739.907
2021-S1,873.697
2021-S2,784.633
2022-S1,816.913
2022-S2,1061.996
2023-S1,1193.434
2023-S2,1206.335
2024-S1,1259.428
2024-S2,1533.353
2025-S1,1207.066
2025-S2,1241.249
2015-S1,3515662.418
2015-S2,2807433.213
2016-S1,2019962.256
2016-S2,1477921.629
2017-S1,1561179.150
2017-S2,1251733.908
2018-S1,1152982.981
2018-S2,1037212.258
2019-S1,548274.248
2019-S2,439230.551
2020-S1,514939.011
2020-S2,437765.707
2021-S1,450784.219
2021-S2,358348.093
2022-S1,466374.841
2022-S2,252861.653
2023-S1,278451.585
2023-S2,328987.907
2024-S1,404926.843
2024-S2,370050.770
2025-S1,399055.930
2025-S2,397574.837
2015-S1,11208265.022
2015-S2,10618814.222
2016-S1,9601077.957
2016-S2,8378847.412
2017-S1,8567023.259
2017-S2,8280577.020
2018-S1,8285383.924
2018-S2,7292743.109
2019-S1,7911320.901
2019-S2,7511614.440
2020-S1,7636339.886
2020-S2,7596316.691
2021-S1,7107383.016
2021-S2,6827861.333
2022-S1,7695123.580
2022-S2,8565434.111
2023-S1,10078939.964
2023-S2,10188594.989
2024-S1,9451440.853
2024-S2,8617902.586
2025-S1,10108942.020
2025-S2,9556699.077
2015-S1,858084.000
2015-S2,509031.000
2016-S1,483150.000
2016-S2,344841.000
2017-S1,264704.000
2017-S2,255185.000
2018-S1,230853.000
2018-S2,228188.000
2019-S1,363772.000
2019-S2,369981.000
2020-S1,465224.000
2020-S2,427719.000
2021-S1,457305.000
2021-S2,384397.000
2022-S1,358691.000
2022-S2,435255.000
2023-S1,536238.000
2023-S2,370770.000
2024-S1,392528.000
2024-S2,442350.000
2025-S1,583138.000
2025-S2,535915.000
2016-S1,25260.000
2016-S2,29990.000
2017-S1,55007.000
2017-S2,87469.000
2018-S1,NaN
2018-S2,NaN
2019-S1,NaN
2019-S2,NaN
2020-S1,NaN
2020-S2,NaN
2021-S1,NaN
2021-S2,NaN
2022-S1,NaN
2022-S2,400.000
2023-S1,2234.000
2023-S2,1888.000
2024-S1,1241.000
2024-S2,1764.000
2025-S1,1379.000
2025-S2,1112.000
2015-S1,710.884
2015-S2,631.229
2016-S1,695.115
2016-S2,735.952
