date,EURIBOR 3 mois,EURIBOR 6 mois,EUR/USD mensuel,EUR/GBP mensuel,EUR/JPY mensuel
2012-11,0.192,0.3604091,1.2827727272727,0.8038886363636,103.935
2012-12,0.1854737,0.3238333,1.3119368421053,0.8123684210526,109.7052631578948
2013-01,0.2049091,0.3442727,1.3288045454545,0.8327090909091,118.3431818181818
2013-02,0.22335,0.36185,1.335905,0.8624975,124.4005
2013-03,0.20605,0.3288,1.29636,0.859955,122.9865
2013-04,0.2089048,0.3242857,1.3026,0.8507571428571,127.5433333333334
2013-05,0.2012273,0.2994545,1.2982045454545,0.8491431818182,131.1268181818182
2013-06,0.21025,0.32085,1.318875,0.85191,128.395
2013-07,0.2214348,0.3358261,1.3080130434783,0.8619239130435,130.3939130434782
2013-08,0.2258636,0.3422273,1.33095,0.8590409090909,130.3386363636364
2013-09,0.2232381,0.3400476,1.3347904761905,0.84171,132.4095238095238
2013-10,0.2258261,0.3415217,1.3634956521739,0.847197826087,133.3247826086957
2013-11,0.223381,0.3269048,1.3492904761905,0.8378023809524,134.9728571428572
2013-12,0.2735,0.37055,1.37036,0.8363865,141.679
2014-01,0.2920455,0.396,1.3610227272727,0.8267431818182,141.4672727272727
2014-02,0.2881,0.3866,1.36585,0.825099,139.345
2014-03,0.3053333,0.4069048,1.3822523809524,0.8316976190476,141.48
2014-04,0.32975,0.4299,1.38125,0.825195,141.6185
2014-05,0.3245714,0.4168571,1.3732142857143,0.8153466666667,139.7442857142857
2014-06,0.2414286,0.3331905,1.3592380952381,0.8040904761905,138.7185714285715
2014-07,0.2050435,0.3046087,1.3539173913043,0.7931043478261,137.7230434782608
2014-08,0.1915714,0.2917619,1.3316095238095,0.797300952381,137.1066666666667
2014-09,0.0970909,0.1996818,1.2901363636364,0.7911318181818,138.3904545454546
2014-10,0.0826087,0.1836522,1.2672739130435,0.7886086956522,136.8452173913043
2014-11,0.0809,0.18175,1.24722,0.790535,145.029
2014-12,0.0809048,0.1764762,1.2331333333333,0.7883,147.0585714285714
2015-01,0.0626667,0.1522857,1.1621333333333,0.7667976190476,137.47
2015-02,0.0482,0.12585,1.134965,0.7405075,134.686
2015-03,0.0271818,0.0968636,1.0837681818182,0.7235840909091,130.4095454545455
2015-04,0.0047,0.0728,1.07793,0.7211575,128.935
2015-05,-0.0103684,0.0570526,1.114955,0.7212415,134.748
2015-06,-0.0139091,0.0491818,1.1213227272727,0.7207795454545,138.7395454545454
2015-07,-0.0187391,0.0487391,1.0995782608696,0.70685,135.6813043478261
2015-08,-0.0276667,0.0439048,1.1139047619048,0.7142323809524,137.1238095238095
2015-09,-0.0370455,0.0352727,1.1221181818182,0.7312886363636,134.8509090909091
2015-10,-0.0535909,0.0196818,1.1235090909091,0.7328704545455,134.8390909090909
2015-11,-0.087619,-0.0154286,1.0736,0.7065761904762,131.5971428571428
2015-12,-0.1263182,-0.0397727,1.0877181818182,0.7259522727273,132.3577272727273
2016-01,-0.14615,-0.0608,1.085965,0.754586,128.3235
2016-02,-0.1835714,-0.1152857,1.1092952380952,0.7755852380952,127.3461904761905
2016-03,-0.2285238,-0.1335714,1.1099666666667,0.780200952381,125.3852380952381
2016-04,-0.2491905,-0.1379524,1.133919047619,0.7922957142857,124.2871428571428
2016-05,-0.2571818,-0.1445,1.1311090909091,0.7777913636364,123.2136363636364
2016-06,-0.2679091,-0.1624091,1.1228909090909,0.7904936363636,118.4531818181818
2016-07,-0.2945238,-0.1881905,1.1068523809524,0.8410576190476,115.25
2016-08,-0.2982174,-0.1886522,1.1211739130435,0.8552086956522,113.4873913043478
2016-09,-0.3016364,-0.1991364,1.1212090909091,0.8522768181818,114.2181818181818
2016-10,-0.309,-0.2070952,1.1026047619048,0.8938995238095,114.4733333333333
2016-11,-0.3126818,-0.2148182,1.0798954545455,0.8689431818182,116.9327272727273
2016-12,-0.3157619,-0.2179048,1.0542904761905,0.8444142857143,122.3947619047619
2017-01,-0.3255455,-0.2355455,1.0614409090909,0.8610040909091,122.1359090909091
2017-02,-0.3286,-0.24055,1.064265,0.8527305,120.168
2017-03,-0.3293478,-0.2407391,1.0684695652174,0.8656034782609,120.6760869565217
2017-04,-0.3303889,-0.2455,1.0722666666667,0.848235,118.2944444444445
2017-05,-0.3294545,-0.2508636,1.10575,0.8555431818182,124.0931818181818
2017-06,-0.33,-0.2668182,1.1229454545455,0.8772381818182,124.5845454545455
2017-07,-0.3304286,-0.272619,1.1511142857143,0.8861733333333,129.4819047619048
